Position	Starters	Last	Since	Number	Carried	Weight	Barrier	Distance	Lengths	Odds	Starts	Age	Ratio
1	14	2	14	3	56.5	56.5	3	1200	0	2	12	4	0.25
2	14	5	21	4	55.5	55.5	13	1200	0.75	6	16	4	0.37
3	14	2	24	7	53.5	53	8	1200	1.25	8	10	4	0.4
4	14	5	7	6	53	53	2	1200	1.5	20	44	5	0.15
5	14	1	30	13	49	52	6	1200	2.75	4.5	10	4	0.2
6	14	2	93	16	52	52	10	1200	3.25	8	6	4	0
7	14	6	14	9	52.5	52.5	5	1200	6	20	23	5	0.2
8	14	3	14	1	57.5	57.5	1	1200	6.25	9	38	7	0.18
9	14	6	107	10	49.5	52.5	4	1200	7	50	33	6	0.15
10	14	6	231	5	52	53.5	12	1200	8.25	33	26	6	0.23
11	14	1	385	2	57	57	7	1200	9	20	23	5	0.21
12	14	2	14	11	50.5	52	11	1200	10.5	25	15	9	0.26
13	14	10	29	14	52	52	14	1200	16	125	33	6	0.15
14	14	1	16	15	52.5	52	9	1200	17.75	14	16	4	0.18
1	13	2	7	10	52.5	52	7	1600	0	3.25	20	5	0.15
2	13	1	21	3	53.5	53.5	13	1600	0.2	6.5	21	5	0.23
3	13	1	14	2	51	54	8	1600	0.5	3.5	15	4	0.26
4	13	1	17	13	52	52	1	1600	0.5	9	5	4	0.2
5	13	6	14	4	51	52.5	11	1600	0.75	12	25	5	0.2
6	13	4	21	1	53.5	56	3	1600	2.25	10	48	6	0.2
7	13	9	15	9	52.5	52	6	1600	3	25	54	7	0.12
8	13	10	10	5	49	52	10	1600	3.75	40	29	6	0.1
9	13	6	15	8	52	52	4	1600	5	16	37	6	0.13
10	13	1	7	7	52	52	2	1600	5.75	25	33	6	0.06
11	13	6	12	12	52	52	9	1600	8.75	7	18	4	0.05
12	13	18	84	6	52	52	5	1600	13.25	16	8	4	0.25
13	13	3	17	11	52	52	12	1600	17.75	12	11	4	0.09
1	19	4	14	4	56	56	3	1400	0	6.5	20	5	0.3
2	19	1	10	9	53	54.5	14	1400	0.2	5	14	4	0.35
3	19	3	17	15	52.5	52.5	13	1400	3.75	16	25	5	0.08
4	19	5	91	14	53	53	17	1400	3.75	16	12	4	0.25
5	19	4	21	17	52	52	5	1400	4	12	13	5	0.23
6	19	4	21	3	54	57	6	1400	5	6.5	30	5	0.13
7	19	1	16	7	55	55	9	1400	5.75	5.5	16	4	0.31
8	19	17	35	1	57	60	12	1400	6	16	22	6	0.18
9	19	2	17	16	52.5	52	10	1400	6.25	10	23	6	0.17
10	19	1	15	13	53	53	8	1400	8.5	15	18	4	0.22
11	19	6	14	5	53.5	56	15	1400	9.25	20	32	7	0.12
12	19	10	28	18	52	52	18	1400	10.5	66	35	6	0.17
13	19	9	14	6	56	56	7	1400	10.75	66	38	6	0.13
14	19	5	14	10	54.5	54.5	11	1400	13.5	16	45	7	0.11
15	19	1	20	12	52.5	54	2	1400	14	33	14	5	0.35
16	19	13	35	20	49	52	19	1400	17	40	5	3	0.2
17	19	11	28	8	55	55	4	1400	17.5	20	27	6	0.18
18	19	9	17	11	54.5	54.5	1	1400	19.5	33	39	5	0.12
19	19	4	14	19	52	52	16	1400	20.5	200	40	8	0.15
1	13	4	10	4	55	55	13	1600	0	1.75	13	7	0.53
2	13	5	10	1	56.5	58	8	1600	0.25	9	37	6	0.1
3	13	2	14	3	56	56	6	1600	0.5	4	13	6	0.23
4	13	1	7	9	49	52	7	1600	0.75	16	64	8	0.1
5	13	2	14	11	52	52	3	1600	1.25	50	42	6	0.16
6	13	4	14	12	52	52	4	1600	1.5	66	61	8	0.11
7	13	12	10	2	53	56	1	1600	2.75	12	40	6	0.32
8	13	14	10	7	53.5	53.5	2	1600	2.75	10	75	9	0.2
9	13	2	21	6	53	54	10	1600	5	5.5	28	5	0.21
10	13	7	10	5	54.5	54.5	12	1600	5.75	16	35	7	0.34
11	13	4	17	8	52	52	11	1600	8.5	20	35	6	0.25
12	13	1	17	10	52	52	9	1600	10.75	16	36	5	0.25
13	13	6	24	13	52.5	52	5	1600	13.5	400	46	7	0.1
1	14	2	16	2	58.5	58.5	11	1200	0	14	62	7	0.24
2	14	1	63	9	53.5	54.5	6	1200	1.25	5	13	4	0.46
3	14	4	17	4	56	56	13	1200	1.5	4.5	14	5	0.14
4	14	6	21	1	59	59	9	1200	1.5	7	23	4	0.43
5	14	7	7	14	52	52	14	1200	1.75	16	24	7	0.2
6	14	9	49	7	55	55	5	1200	3	8	28	5	0.14
7	14	1	7	10	52	54	7	1200	3.75	14	38	6	0.23
8	14	3	14	6	55.5	55.5	2	1200	3.75	5	48	7	0.18
9	14	6	210	11	53.5	53.5	8	1200	4	30	26	5	0.19
10	14	8	35	5	54	55.5	12	1200	5.25	7	22	7	0.31
11	14	8	14	3	54	57	10	1200	6.5	30	27	5	0.25
12	14	4	28	13	53	53	1	1200	8	15	47	6	0.17
13	14	8	56	12	51	53	4	1200	8	25	29	5	0.27
14	14	7	31	15	52.5	52	3	1200	8.25	40	42	6	0.09
